Date,Open,High,Low,Close,Adj Close,Volume
2014-01-28,63543.699219,63543.699219,63543.699219,63543.699219,63543.699219,0
2014-01-29,62088.699219,62088.699219,62088.699219,62088.699219,62088.699219,0
2014-01-30,62701.398438,62701.398438,62701.398438,62701.398438,62701.398438,0
2014-01-31,61858.199219,61858.199219,61858.199219,61858.199219,61858.199219,0
2014-02-03,61675.199219,61675.199219,61675.199219,61675.199219,61675.199219,0
2014-02-04,62732.699219,62732.699219,62732.699219,62732.699219,62732.699219,0
2014-02-05,62442.398438,62442.398438,62442.398438,62442.398438,62442.398438,0
2014-02-06,64549.898438,64549.898438,64549.898438,64549.898438,64549.898438,0
2014-02-07,64614.300781,64614.300781,64614.300781,64614.300781,64614.300781,0
2014-02-10,64050.199219,64050.199219,64050.199219,64050.199219,64050.199219,0
2014-02-11,64280.699219,64280.699219,64280.699219,64280.699219,64280.699219,0
2014-02-12,64513.699219,64513.699219,64513.699219,64513.699219,64513.699219,0
2014-02-13,63764.898438,63764.898438,63764.898438,63764.898438,63764.898438,0
2014-02-14,64882.898438,64882.898438,64882.898438,64882.898438,64882.898438,0
2014-02-17,65599.203125,65599.203125,65599.203125,65599.203125,65599.203125,0
2014-02-18,64125.699219,64125.699219,64125.699219,64125.699219,64125.699219,0
2014-02-19,63382.101563,63382.101563,63382.101563,63382.101563,63382.101563,0
2014-02-20,63681.000000,63681.000000,63681.000000,63681.000000,63681.000000,0
2014-02-21,63885.601563,63885.601563,63885.601563,63885.601563,63885.601563,0
2014-02-24,64186.000000,64186.000000,64186.000000,64186.000000,64186.000000,0
2014-02-25,62123.800781,62123.800781,62123.800781,62123.800781,62123.800781,0
2014-02-26,61503.000000,61503.000000,61503.000000,61503.000000,61503.000000,0
2014-02-27,61779.199219,61779.199219,61779.199219,61779.199219,61779.199219,0
2014-02-28,62553.300781,62553.300781,62553.300781,62553.300781,62553.300781,0
2014-03-03,61189.101563,61189.101563,61189.101563,61189.101563,61189.101563,0
2014-03-04,63030.699219,63030.699219,63030.699219,63030.699219,63030.699219,0
2014-03-05,63444.699219,63444.699219,63444.699219,63444.699219,63444.699219,0
2014-03-06,64004.199219,64004.199219,64004.199219,64004.199219,64004.199219,0
2014-03-07,63096.000000,63096.000000,63096.000000,63096.000000,63096.000000,0
2014-03-10,62731.500000,62731.500000,62731.500000,62731.500000,62731.500000,0
2014-03-11,63065.601563,63065.601563,63065.601563,63065.601563,63065.601563,0
2014-03-12,63258.601563,63258.601563,63258.601563,63258.601563,63258.601563,0
2014-03-13,63345.398438,63345.398438,63345.398438,63345.398438,63345.398438,0
2014-03-14,63278.898438,63278.898438,63278.898438,63278.898438,63278.898438,0
2014-03-17,64197.800781,64197.800781,64197.800781,64197.800781,64197.800781,0
2014-03-18,65573.500000,65573.500000,65573.500000,65573.500000,65573.500000,0
2014-03-19,65487.101563,65487.101563,65487.101563,65487.101563,65487.101563,0
2014-03-20,65261.398438,65261.398438,65261.398438,65261.398438,65261.398438,0
2014-03-21,64579.398438,64579.398438,64579.398438,64579.398438,64579.398438,0
2014-03-24,63710.398438,63710.398438,63710.398438,63710.398438,63710.398438,0
2014-03-25,64696.500000,64696.500000,64696.500000,64696.500000,64696.500000,0
2014-03-26,67730.796875,67730.796875,67730.796875,67730.796875,67730.796875,0
2014-03-27,67048.398438,67048.398438,67048.398438,67048.398438,67048.398438,0
2014-03-28,69117.296875,69117.296875,69117.296875,69117.296875,69117.296875,0
2014-03-31,69736.296875,69736.296875,69736.296875,69736.296875,69736.296875,0
2014-04-01,70857.398438,70857.398438,70857.398438,70857.398438,70857.398438,0
2014-04-02,70648.000000,70648.000000,70648.000000,70648.000000,70648.000000,0
2014-04-03,71544.796875,71544.796875,71544.796875,71544.796875,71544.796875,0
2014-04-04,72582.898438,72582.898438,72582.898438,72582.898438,72582.898438,0
2014-04-07,72489.101563,72489.101563,72489.101563,72489.101563,72489.101563,0
2014-04-08,73946.500000,73946.500000,73946.500000,73946.500000,73946.500000,0
2014-04-09,72428.500000,72428.500000,72428.500000,72428.500000,72428.500000,0
2014-04-10,73150.203125,73150.203125,73150.203125,73150.203125,73150.203125,0
2014-04-11,72736.296875,72736.296875,72736.296875,72736.296875,72736.296875,0
2014-04-14,73774.898438,73774.898438,73774.898438,73774.898438,73774.898438,0
2014-04-15,72438.000000,72438.000000,72438.000000,72438.000000,72438.000000,0
2014-04-16,72399.398438,72399.398438,72399.398438,72399.398438,72399.398438,0
2014-04-17,73561.796875,73561.796875,73561.796875,73561.796875,73561.796875,0
2014-04-18,73476.000000,73476.000000,73476.000000,73476.000000,73476.000000,0
2014-04-21,73446.703125,73446.703125,73446.703125,73446.703125,73446.703125,0
2014-04-22,73170.000000,73170.000000,73170.000000,73170.000000,73170.000000,0
2014-04-23,0,0,0,0,0,0
2014-04-24,72391.296875,72391.296875,72391.296875,72391.296875,72391.296875,0
2014-04-25,71388.703125,71388.703125,71388.703125,71388.703125,71388.703125,0
2014-04-28,72398.500000,72398.500000,72398.500000,72398.500000,72398.500000,0
2014-04-29,72315.000000,72315.000000,72315.000000,72315.000000,72315.000000,0
2014-04-30,73871.500000,73871.500000,73871.500000,73871.500000,73871.500000,0
2014-05-01,0,0,0,0,0,0
2014-05-02,75159.101563,75159.101563,75159.101563,75159.101563,75159.101563,0
2014-05-05,74760.796875,74760.796875,74760.796875,74760.796875,74760.796875,0
2014-05-06,75190.296875,75190.296875,75190.296875,75190.296875,75190.296875,0
2014-05-07,74967.203125,74967.203125,74967.203125,74967.203125,74967.203125,0
2014-05-08,75781.703125,75781.703125,75781.703125,75781.703125,75781.703125,0
2014-05-09,75563.000000,75563.000000,75563.000000,75563.000000,75563.000000,0
2014-05-12,75935.601563,75935.601563,75935.601563,75935.601563,75935.601563,0
2014-05-13,75776.500000,75776.500000,75776.500000,75776.500000,75776.500000,0
2014-05-14,76047.796875,76047.796875,76047.796875,76047.796875,76047.796875,0
2014-05-15,75228.398438,75228.398438,75228.398438,75228.398438,75228.398438,0
2014-05-16,75009.296875,75009.296875,75009.296875,75009.296875,75009.296875,0
2014-05-19,0,0,0,0,0,0
2014-05-20,0,0,0,0,0,0
2014-05-21,0,0,0,0,0,0
